County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Dutchess,Fishkill Town PD,2017,12,128,7,0,0,5,2,121,10,107,4,Non-New York City
Dutchess,Fishkill Vg PD,2017,12,29,2,0,0,1,1,27,3,23,1,Non-New York City
Dutchess,Hyde Park Town PD,2017,12,116,10,0,1,1,8,106,20,84,2,Non-New York City
Dutchess,Millerton Vg PD,2017,7,6,0,0,0,0,0,6,3,3,0,Non-New York City
Dutchess,Poughkeepsie City PD,2017,12,821,215,2,28,57,128,606,111,468,27,Non-New York City
Dutchess,Poughkeepsie Town PD,2017,8,890,32,1,5,19,7,858,39,813,6,Non-New York City
Dutchess,Red Hook Vg PD,2017,11,37,4,0,0,1,3,33,4,29,0,Non-New York City
Dutchess,Rhinebeck Vg PD,2017,12,41,2,0,0,0,2,39,2,37,0,Non-New York City
Dutchess,Wappingers Falls Vg PD,2017,10,66,2,0,0,2,0,64,3,58,3,Non-New York City
Erie,Akron Vg PD,2017,12,11,4,0,0,0,4,7,0,6,1,Non-New York City
Erie,Amherst Town PD,2017,12,1992,124,0,13,51,60,1868,195,1632,41,Non-New York City
Erie,Brant Town PD,2017,12,17,2,0,2,0,0,15,3,11,1,Non-New York City
Erie,Buffalo City PD,2017,12,12437,2610,40,141,857,1572,9827,2356,6638,833,Non-New York City
Erie,Cheektowaga Town PD,2017,12,2483,187,1,14,82,90,2296,300,1908,88,Non-New York City
Erie,County Total,2017,,23371,3463,46,251,1111,2055,19908,3755,15013,1140,Non-New York City
Erie,Depew Vg PD,2017,12,263,17,0,4,6,7,246,41,197,8,Non-New York City
Erie,East Aurora-Town Of Aurora PD,2017,12,94,3,0,1,1,1,91,13,75,3,Non-New York City
Erie,Eden Town PD,2017,12,42,5,1,2,0,2,37,12,24,1,Non-New York City
Erie,Erie County Park PD,2017,12,10,0,0,0,0,0,10,1,9,0,Non-New York City
Erie,Erie County Sheriff,2017,12,695,49,2,0,12,35,646,92,542,12,Non-New York City
Erie,Erie County State Police,2017,12,285,37,0,20,3,14,248,19,219,10,Non-New York City
Erie,Evans Town PD,2017,12,233,18,0,2,2,14,215,25,184,6,Non-New York City
Erie,Gowanda Vg PD,2017,12,21,1,0,0,0,1,20,6,11,3,Non-New York City
Erie,Hamburg Town PD,2017,12,911,37,0,0,12,25,874,91,761,22,Non-New York City
Erie,Hamburg Vg PD,2017,12,104,19,0,3,2,14,85,20,62,3,Non-New York City
Erie,Kenmore Vg PD,2017,12,244,13,0,0,6,7,231,38,188,5,Non-New York City
Erie,Lackawanna City PD,2017,12,432,75,0,10,23,42,357,84,249,24,Non-New York City
Erie,Lancaster Town PD,2017,12,429,23,0,4,5,14,406,48,350,8,Non-New York City
Erie,Orchard Park Town PD,2017,12,284,29,0,2,4,23,255,33,208,14,Non-New York City
Erie,SUNY Police - Buffalo,2017,12,244,6,0,2,0,4,238,32,203,3,Non-New York City
Erie,SUNY Police - Buffalo State College,2017,12,165,15,0,7,0,8,150,23,125,2,Non-New York City
Erie,Tonawanda City PD,2017,12,356,45,0,12,7,26,311,51,249,11,Non-New York City
Erie,Tonawanda Town PD,2017,12,1012,100,1,3,29,67,912,190,697,25,Non-New York City
Erie,West Seneca Town PD,2017,12,607,44,1,9,9,25,563,82,465,16,Non-New York City
Essex,County Total,2017,,417,63,1,34,2,26,354,91,249,14,Non-New York City
Essex,Essex County Sheriff,2017,11,3,0,0,0,0,0,3,0,2,1,Non-New York City
Essex,Essex County State Police,2017,12,329,49,0,30,1,18,280,75,196,9,Non-New York City
Essex,Lake Placid Vg PD,2017,12,34,2,0,0,1,1,32,5,25,2,Non-New York City
Essex,Moriah Town PD,2017,12,2,2,0,0,0,2,0,0,0,0,Non-New York City
Essex,Ticonderoga Town PD,2017,12,49,10,1,4,0,5,39,11,26,2,Non-New York City
Franklin,County Total,2017,,686,100,1,57,5,37,586,136,424,26,Non-New York City
Franklin,Franklin County State Police,2017,12,370,53,1,37,1,14,317,89,214,14,Non-New York City
Franklin,Malone Vg PD,2017,12,162,27,0,12,1,14,135,31,99,5,Non-New York City
Franklin,Saranac Lake Vg PD,2017,12,61,15,0,8,2,5,46,4,38,4,Non-New York City
Franklin,Tupper Lake Vg PD,2017,12,93,5,0,0,1,4,88,12,73,3,Non-New York City
Fulton,County Total,2017,,1087,118,0,51,12,55,969,142,800,27,Non-New York City
Fulton,Fulton County Sheriff,2017,12,333,22,0,8,1,13,311,42,261,8,Non-New York City
Fulton,Fulton County State Police,2017,12,102,21,0,14,0,7,81,28,47,6,Non-New York City
Fulton,Gloversville City PD,2017,12,426,64,0,27,9,28,362,48,306,8,Non-New York City
Fulton,Johnstown City PD,2017,12,221,11,0,2,2,7,210,24,181,5,Non-New York City
Fulton,Northville Vg PD,2017,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Genesee,Batavia City PD,2017,12,578,94,0,20,16,58,484,88,385,11,Non-New York City
Genesee,County Total,2017,,1142,168,0,42,20,106,974,158,784,32,Non-New York City
Genesee,Genesee County Sheriff,2017,12,402,57,0,16,4,37,345,51,280,14,Non-New York City
Genesee,Genesee County State Police,2017,12,108,11,0,4,0,7,97,13,79,5,Non-New York City
Genesee,LeRoy Vg PD,2017,12,54,6,0,2,0,4,48,6,40,2,Non-New York City
Greene,Athens Vg PD,2017,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Greene,Cairo Town PD,2017,12,40,4,0,0,0,4,36,9,27,0,Non-New York City
Greene,Catskill Vg PD,2017,12,142,18,0,5,1,12,124,12,111,1,Non-New York City
Greene,County Total,2017,,630,137,1,38,4,94,493,99,378,16,Non-New York City
Greene,Coxsackie Vg PD,2017,12,13,0,0,0,0,0,13,2,11,0,Non-New York City
Greene,Durham Town PD,2017,12,9,0,0,0,0,0,9,2,7,0,Non-New York City
Greene,Greene County Sheriff,2017,12,25,6,0,0,0,6,19,1,15,3,Non-New York City
Greene,Greene County State Police,2017,12,379,109,1,33,3,72,270,67,192,11,Non-New York City
Greene,Hunter Town PD,2017,6,8,0,0,0,0,0,8,0,7,1,Non-New York City
Greene,Windham Town PD,2017,12,13,0,0,0,0,0,13,5,8,0,Non-New York City
Hamilton,County Total,2017,,35,4,0,2,0,2,31,7,21,3,Non-New York City
Hamilton,Hamilton County Sheriff,2017,12,8,1,0,0,0,1,7,1,3,3,Non-New York City
Hamilton,Hamilton County State Police,2017,12,24,3,0,2,0,1,21,5,16,0,Non-New York City
Hamilton,Inlet Town PD,2017,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Herkimer,County Total,2017,,1125,155,1,40,7,107,970,148,794,28,Non-New York City
Herkimer,Dolgeville Vg PD,2017,12,18,2,0,1,0,1,16,3,13,0,Non-New York City
Herkimer,Frankfort Town PD,2017,10,22,1,0,0,1,0,21,2,19,0,Non-New York City
Herkimer,Frankfort Vg PD,2017,12,31,2,0,0,0,2,29,4,24,1,Non-New York City
Herkimer,Herkimer County Sheriff,2017,12,6,6,0,0,0,6,0,0,0,0,Non-New York City
Herkimer,Herkimer County State Police,2017,12,245,46,1,25,0,20,199,55,127,17,Non-New York City
Herkimer,Herkimer Vg PD,2017,12,374,50,0,1,2,47,324,29,295,0,Non-New York City
Herkimer,Ilion Vg PD,2017,12,285,32,0,8,2,22,253,34,213,6,Non-New York City
Herkimer,Little Falls City PD,2017,12,139,16,0,5,2,9,123,21,99,3,Non-New York City
Herkimer,Webb Town PD,2017,12,5,0,0,0,0,0,5,0,4,1,Non-New York City
Jefferson,Adams Vg PD,2017,12,4,1,0,0,0,1,3,1,1,1,Non-New York City
Jefferson,Alexandria Bay Vg PD,2017,12,6,1,0,0,0,1,5,1,4,0,Non-New York City
Jefferson,Black River Vg PD,2017,12,6,0,0,0,0,0,6,1,5,0,Non-New York City
Jefferson,Brownville Vg PD,2017,12,3,0,0,0,0,0,3,3,0,0,Non-New York City
Jefferson,Cape Vincent Vg PD,2017,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Jefferson,Carthage Vg PD,2017,12,64,7,0,2,3,2,57,8,47,2,Non-New York City
Jefferson,Clayton Vg PD,2017,12,6,1,0,0,0,1,5,0,5,0,Non-New York City
Jefferson,County Total,2017,,2248,234,4,84,23,123,2014,292,1675,47,Non-New York City
Jefferson,Glen Park Vg PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Jefferson,Jefferson County Park PD,2017,12,11,0,0,0,0,0,11,1,10,0,Non-New York City
Jefferson,Jefferson County Sheriff,2017,12,322,20,0,3,1,16,302,37,257,8,Non-New York City
Jefferson,Jefferson County State Police,2017,12,605,64,3,39,3,19,541,85,442,14,Non-New York City
Jefferson,Watertown City PD,2017,12,1193,139,1,39,16,83,1054,153,880,21,Non-New York City
Jefferson,West Carthage Vg PD,2017,12,21,1,0,1,0,0,20,2,17,1,Non-New York City
Kings,County Total,2017,12,49766,14593,111,709,4497,9276,35173,3659,29589,1925,New York City
Lewis,County Total,2017,,254,32,0,20,0,12,222,74,142,6,Non-New York City
Lewis,Lewis County Sheriff,2017,12,105,6,0,1,0,5,99,33,64,2,Non-New York City
Lewis,Lewis County State Police,2017,12,107,21,0,17,0,4,86,37,45,4,Non-New York City
Lewis,Lowville Vg PD,2017,12,42,5,0,2,0,3,37,4,33,0,Non-New York City
Livingston,Avon Vg PD,2017,12,13,0,0,0,0,0,13,0,11,2,Non-New York City
Livingston,Caledonia Vg PD,2017,12,3,2,0,0,0,2,1,0,1,0,Non-New York City
Livingston,County Total,2017,,809,56,0,24,6,26,753,77,648,28,Non-New York City
Livingston,Dansville Vg PD,2017,12,110,4,0,0,2,2,106,11,92,3,Non-New York City
Livingston,Geneseo Vg PD,2017,12,165,2,0,2,0,0,163,13,149,1,Non-New York City
Livingston,Livingston County Sheriff,2017,12,325,18,0,9,1,8,307,36,254,17,Non-New York City
Livingston,Livingston County State Police,2017,12,48,19,0,9,1,9,29,4,23,2,Non-New York City
Livingston,Mount Morris Vg PD,2017,12,73,6,0,0,2,4,67,7,57,3,Non-New York City
Livingston,Nunda Town and Vg PD,2017,12,13,1,0,1,0,0,12,2,10,0,Non-New York City
Livingston,SUNY Police - Geneseo,2017,12,59,4,0,3,0,1,55,4,51,0,Non-New York City
Madison,Canastota Vg PD,2017,12,67,3,0,0,0,3,64,9,54,1,Non-New York City
Madison,Cazenovia Vg PD,2017,12,42,5,0,2,2,1,37,5,32,0,Non-New York City
Madison,Chittenango Vg PD,2017,12,30,5,0,0,1,4,25,4,19,2,Non-New York City
Madison,County Total,2017,,976,104,1,46,14,43,872,152,696,24,Non-New York City
Madison,Hamilton Vg PD,2017,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Madison,Madison County Sheriff,2017,12,167,21,0,5,1,15,146,28,108,10,Non-New York City
Madison,Madison County State Police,2017,12,230,42,0,30,4,8,188,47,134,7,Non-New York City
Madison,Oneida City PD,2017,12,405,25,1,6,6,12,380,54,322,4,Non-New York City
Madison,SUNY Police - Morrisville,2017,12,29,3,0,3,0,0,26,5,21,0,Non-New York City
Monroe,Brighton Town PD,2017,12,809,28,0,8,9,11,781,74,691,16,Non-New York City
Monroe,Brockport Vg PD,2017,12,107,20,1,3,5,11,87,25,58,4,Non-New York City
Monroe,County Total,2017,,18925,2564,35,275,902,1352,16361,2339,13066,956,Non-New York City
Monroe,East Rochester Vg PD,2017,12,92,4,0,0,2,2,88,14,70,4,Non-New York City
Monroe,Fairport Vg PD,2017,12,49,3,1,1,1,0,46,6,39,1,Non-New York City
Monroe,Gates Town PD,2017,12,901,60,1,9,15,35,841,68,729,44,Non-New York City
Monroe,Greece Town PD,2017,12,2109,174,3,29,62,80,1935,243,1591,101,Non-New York City
Monroe,Irondequoit Town PD,2017,12,1227,109,1,11,41,56,1118,157,903,58,Non-New York City
Monroe,Monroe County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Monroe,Monroe County Sheriff,2017,12,3019,230,1,41,49,139,2789,328,2374,87,Non-New York City
Monroe,Monroe County State Police,2017,12,83,16,0,12,0,4,67,2,58,7,Non-New York City
Monroe,Ogden Town PD,2017,12,223,13,0,4,3,6,210,30,171,9,Non-New York City
Monroe,Rochester City PD,2017,12,9806,1872,27,141,707,997,7934,1337,5981,616,Non-New York City
Monroe,SUNY Police - Brockport,2017,12,56,3,0,1,1,1,53,8,45,0,Non-New York City
Monroe,Webster Town and Vg PD,2017,12,443,32,0,15,7,10,411,47,355,9,Non-New York City
Montgomery,Amsterdam City PD,2017,12,371,31,1,4,13,13,340,68,265,7,Non-New York City
Montgomery,Canajoharie Vg PD,2017,12,17,0,0,0,0,0,17,0,16,1,Non-New York City
Montgomery,County Total,2017,,937,78,1,32,14,31,859,121,715,23,Non-New York City
Montgomery,Fort Plain Vg PD,2017,12,69,5,0,2,0,3,64,9,54,1,Non-New York City
Montgomery,Montgomery County Sheriff,2017,12,345,16,0,6,1,9,329,28,292,9,Non-New York City
Montgomery,Montgomery County State Police,2017,12,111,22,0,19,0,3,89,14,71,4,Non-New York City
Montgomery,St Johnsville Vg PD,2017,12,24,4,0,1,0,3,20,2,17,1,Non-New York City
Nassau,Centre Island Vg PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Nassau,County Total,2017,,14016,1650,17,41,599,993,12366,1109,10604,653,Non-New York City
Nassau,Floral Park Vg PD,2017,12,51,9,0,1,7,1,42,7,29,6,Non-New York City
Nassau,Freeport Vg PD,2017,12,501,94,0,2,33,59,407,33,336,38,Non-New York City
Nassau,Garden City Vg PD,2017,12,216,2,0,0,2,0,214,14,195,5,Non-New York City
Nassau,Glen Cove City PD,2017,12,159,8,0,1,2,5,151,12,137,2,Non-New York City
Nassau,Great Neck Estates Vg PD,2017,12,7,0,0,0,0,0,7,3,4,0,Non-New York City
Nassau,Hempstead Vg PD,2017,12,925,332,6,6,109,211,593,92,393,108,Non-New York City
Nassau,Kings Point Vg PD,2017,12,12,2,0,0,1,1,10,1,6,3,Non-New York City
Nassau,Lake Success Vg PD,2017,12,20,1,0,0,0,1,19,4,12,3,Non-New York City
Nassau,Long Beach City PD,2017,12,220,21,0,0,9,12,199,11,180,8,Non-New York City
Nassau,Lynbrook Vg PD,2017,12,120,18,0,1,7,10,102,13,79,10,Non-New York City
Nassau,Malverne Vg PD,2017,12,23,0,0,0,0,0,23,2,21,0,Non-New York City
Nassau,Nassau County MTA,2017,12,66,11,0,0,8,3,55,0,55,0,Non-New York City
Nassau,Nassau County Park PD,2017,12,64,4,0,1,0,3,60,0,59,1,Non-New York City
Nassau,Nassau County PD,2017,12,11216,1113,10,28,416,659,10103,888,8768,447,Non-New York City
Nassau,Nassau County State Police,2017,12,18,5,1,1,0,3,13,2,8,3,Non-New York City
Nassau,Old Brookville Vg PD,2017,12,35,1,0,0,1,0,34,6,23,5,Non-New York City
Nassau,Old Westbury Vg PD,2017,12,23,0,0,0,0,0,23,0,23,0,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2017,12,14,0,0,0,0,0,14,4,8,2,Non-New York City
Nassau,Port Washington Police District,2017,12,105,5,0,0,2,3,100,13,83,4,Non-New York City
Nassau,Rockville Centre Vg PD,2017,12,210,24,0,0,2,22,186,3,176,7,Non-New York City
Nassau,Sands Point Vg PD,2017,12,10,0,0,0,0,0,10,1,8,1,Non-New York City
New York,County Total,2017,12,46653,8839,41,494,2929,5375,37814,2206,34867,741,New York City
Niagara,County Total,2017,,5446,765,3,83,196,483,4681,843,3563,275,Non-New York City
Niagara,Lewiston Town PD,2017,12,135,8,0,2,0,6,127,23,87,17,Non-New York City
Niagara,Lockport City PD,2017,7,414,57,0,1,17,39,357,72,266,19,Non-New York City
Niagara,Middleport Vg PD,2017,12,33,3,0,0,0,3,30,4,25,1,Non-New York City
Niagara,Niagara County Park PD,2017,12,48,4,0,0,3,1,44,3,39,2,Non-New York City
Niagara,Niagara County Sheriff,2017,12,758,60,0,12,7,41,698,128,527,43,Non-New York City
Niagara,Niagara County State Police,2017,12,265,42,0,27,6,9,223,35,176,12,Non-New York City
Niagara,Niagara Falls City PD,2017,12,2880,544,3,36,150,355,2336,458,1738,140,Non-New York City
Niagara,Niagara Town PD,2017,12,367,9,0,0,5,4,358,36,304,18,Non-New York City
Niagara,North Tonawanda City PD,2017,12,544,37,0,5,8,24,507,84,400,23,Non-New York City
Niagara,Youngstown Vg PD,2017,12,2,1,0,0,0,1,1,0,1,0,Non-New York City
Oneida,Boonville Vg PD,2017,11,10,4,0,0,0,4,6,1,5,0,Non-New York City
Oneida,Camden Vg PD,2017,12,25,1,0,1,0,0,24,4,20,0,Non-New York City
Oneida,County Total,2017,,4764,685,4,197,107,377,4079,668,3282,129,Non-New York City
Oneida,Kirkland Town PD,2017,12,22,0,0,0,0,0,22,0,22,0,Non-New York City
Oneida,New Hartford Town and Vg PD,2017,12,612,16,0,2,6,8,596,27,560,9,Non-New York City
Oneida,New York Mills Vg PD,2017,12,39,2,0,0,1,1,37,3,32,2,Non-New York City
Oneida,Oneida County Park PD,2017,12,3,0,0,0,0,0,3,0,2,1,Non-New York City
Oneida,Oneida County Sheriff,2017,12,405,134,0,99,4,31,271,40,217,14,Non-New York City
Oneida,Oneida County State Police,2017,12,529,112,0,43,2,67,417,82,316,19,Non-New York City
Oneida,Oriskany Vg PD,2017,12,12,1,0,0,0,1,11,5,6,0,Non-New York City
Oneida,Rome City PD,2017,12,634,71,1,10,13,47,563,109,440,14,Non-New York City
Oneida,Sherrill City PD,2017,12,21,0,0,0,0,0,21,0,21,0,Non-New York City
Oneida,SUNY Police - Polytechnic Institute,2017,12,11,0,0,0,0,0,11,1,10,0,Non-New York City
Oneida,Utica City PD,2017,12,2323,337,3,42,78,214,1986,376,1543,67,Non-New York City
Oneida,Vernon Vg PD,2017,12,22,1,0,0,0,1,21,0,21,0,Non-New York City
Oneida,Whitesboro Vg PD,2017,12,36,0,0,0,0,0,36,4,31,1,Non-New York City
Oneida,Whitestown Town PD,2017,12,31,1,0,0,1,0,30,7,22,1,Non-New York City
Oneida,Yorkville Vg PD,2017,12,29,5,0,0,2,3,24,9,14,1,Non-New York City
Onondaga,Baldwinsville Vg PD,2017,12,73,6,0,2,0,4,67,9,55,3,Non-New York City
Onondaga,Camillus Town and Vg PD,2017,12,313,16,0,2,1,13,297,15,272,10,Non-New York City
Onondaga,Cicero Town PD,2017,12,286,12,0,1,0,11,274,30,232,12,Non-New York City
Onondaga,County Total,2017,,10892,1429,24,211,355,839,9463,1744,7145,574,Non-New York City
Onondaga,DeWitt Town PD,2017,12,763,48,1,4,17,26,715,78,617,20,Non-New York City
Onondaga,Geddes Town PD,2017,12,222,7,0,0,3,4,215,20,194,1,Non-New York City
Onondaga,Jordan Vg PD,2017,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Onondaga,Liverpool Vg PD,2017,12,31,0,0,0,0,0,31,5,22,4,Non-New York City
Onondaga,Manlius Town PD,2017,12,358,17,0,5,4,8,341,52,285,4,Non-New York City
Onondaga,Marcellus Vg PD,2017,12,7,0,0,0,0,0,7,2,5,0,Non-New York City
Onondaga,North Syracuse Vg PD,2017,12,108,9,0,2,1,6,99,13,81,5,Non-New York City
Onondaga,Onondaga County Park PD,2017,12,16,0,0,0,0,0,16,0,16,0,Non-New York City
Onondaga,Onondaga County Park Rangers,2017,12,29,0,0,0,0,0,29,0,28,1,Non-New York City
Onondaga,Onondaga County Sheriff,2017,12,1930,210,3,56,39,112,1720,272,1349,99,Non-New York City
Onondaga,Onondaga County State Police,2017,12,625,73,0,40,3,30,552,68,455,29,Non-New York City
Onondaga,Skaneateles Vg PD,2017,12,19,1,0,0,0,1,18,1,17,0,Non-New York City
Onondaga,Solvay Vg PD,2017,12,158,16,0,1,2,13,142,26,106,10,Non-New York City
Onondaga,SUNY Police - Environmental Science,2017,12,17,0,0,0,0,0,17,0,17,0,Non-New York City
Onondaga,SUNY Police - Upstate Medical,2017,12,110,5,0,0,1,4,105,7,93,5,Non-New York City
Onondaga,Syracuse City PD,2017,12,5826,1009,20,98,284,607,4817,1145,3301,371,Non-New York City
Ontario,Canandaigua City PD,2017,12,239,33,1,11,1,20,206,36,165,5,Non-New York City
Ontario,County Total,2017,,1614,134,2,58,16,58,1480,257,1188,35,Non-New York City
Ontario,Geneva City PD,2017,12,317,28,1,6,7,14,289,80,207,2,Non-New York City
Ontario,Manchester Vg PD,2017,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Ontario,Ontario County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Ontario,Ontario County Sheriff,2017,12,792,37,0,13,7,17,755,115,623,17,Non-New York City
Ontario,Ontario County State Police,2017,12,264,36,0,28,1,7,228,25,192,11,Non-New York City
Orange,Blooming Grove Town PD,2017,12,73,11,0,0,1,10,62,19,39,4,Non-New York City
Orange,Chester Town PD,2017,12,14,7,0,0,0,7,7,0,6,1,Non-New York City
Orange,Chester Vg PD,2017,12,59,6,0,0,0,6,53,5,47,1,Non-New York City
Orange,Cornwall Town PD,2017,12,23,2,0,0,0,2,21,4,17,0,Non-New York City
Orange,Cornwall-on-Hudson Vg PD,2017,12,25,3,0,0,1,2,22,1,21,0,Non-New York City
Orange,County Total,2017,,6732,871,8,163,198,502,5861,613,5074,174,Non-New York City
Orange,Crawford Town PD,2017,12,107,9,0,0,2,7,98,25,68,5,Non-New York City
Orange,Deerpark Town PD,2017,12,83,7,0,0,0,7,76,16,57,3,Non-New York City
Orange,Florida Vg PD,2017,12,5,1,0,0,0,1,4,1,3,0,Non-New York City
Orange,Goshen Town PD,2017,12,93,4,0,1,1,2,89,14,70,5,Non-New York City
Orange,Goshen Vg PD,2017,12,56,4,0,0,0,4,52,5,47,0,Non-New York City
Orange,Greenwood Lake Vg PD,2017,12,22,1,0,1,0,0,21,4,16,1,Non-New York City
Orange,Harriman Vg PD,2017,12,21,1,0,0,1,0,20,0,17,3,Non-New York City
Orange,Highland Falls Vg PD,2017,12,49,3,0,0,0,3,46,11,34,1,Non-New York City
Orange,Highlands Town PD,2017,12,10,2,0,0,0,2,8,0,8,0,Non-New York City
Orange,Maybrook Vg PD,2017,12,11,3,0,0,0,3,8,0,8,0,Non-New York City
Orange,Middletown City PD,2017,12,761,103,2,11,37,53,658,75,572,11,Non-New York City
Orange,Monroe Vg PD,2017,12,142,9,0,1,2,6,133,19,113,1,Non-New York City
Orange,Montgomery Town PD,2017,10,47,9,0,5,0,4,38,11,24,3,Non-New York City
Orange,Montgomery Vg PD,2017,12,19,0,0,0,0,0,19,3,16,0,Non-New York City
Orange,Mount Hope Town PD,2017,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Orange,New Windsor Town PD,2017,12,389,26,0,0,3,23,363,36,319,8,Non-New York City
Orange,Newburgh City PD,2017,12,1094,347,6,23,101,217,747,160,546,41,Non-New York City
Orange,Newburgh Town PD,2017,12,1083,24,0,1,11,12,1059,61,984,14,Non-New York City
Orange,Orange County MTA,2017,12,4,0,0,0,0,0,4,0,2,2,Non-New York City
Orange,Orange County Park PD,2017,12,4,0,0,0,0,0,4,2,2,0,Non-New York City
Orange,Orange County Sheriff,2017,5,16,9,0,0,0,9,7,0,7,0,Non-New York City
Orange,Orange County State Police,2017,12,820,162,0,108,15,39,658,47,592,19,Non-New York City
Orange,Port Jervis City PD,2017,12,248,26,0,4,2,20,222,33,182,7,Non-New York City
Orange,Tuxedo Town PD,2017,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Orange,Walden Vg PD,2017,12,87,7,0,1,0,6,80,9,67,4,Non-New York City
Orange,Wallkill Town PD,2017,12,697,65,0,6,17,42,632,30,581,21,Non-New York City
Orange,Warwick Town PD,2017,12,117,13,0,1,2,10,104,13,77,14,Non-New York City
Orange,Washingtonville Vg PD,2017,12,36,3,0,0,1,2,33,4,28,1,Non-New York City
Orange,Woodbury Town PD,2017,12,509,4,0,0,1,3,505,4,497,4,Non-New York City
Orleans,Albion Vg PD,2017,12,222,30,0,3,8,19,192,24,164,4,Non-New York City
Orleans,County Total,2017,,763,87,0,19,11,57,676,88,568,20,Non-New York City
Orleans,Holley Vg PD,2017,12,31,3,0,1,0,2,28,4,21,3,Non-New York City
Orleans,Medina Vg PD,2017,12,173,24,0,5,3,16,149,18,128,3,Non-New York City
Orleans,Orleans County Sheriff,2017,12,264,18,0,5,0,13,246,34,203,9,Non-New York City
Orleans,Orleans County State Police,2017,12,73,12,0,5,0,7,61,8,52,1,Non-New York City
Oswego,Central Square Vg PD,2017,12,32,0,0,0,0,0,32,0,31,1,Non-New York City
Oswego,County Total,2017,,1976,218,1,96,17,104,1758,406,1278,74,Non-New York City
Oswego,Fulton City PD,2017,12,347,18,0,2,5,11,329,77,245,7,Non-New York City
Oswego,Oswego City PD,2017,12,426,36,0,5,4,27,390,71,311,8,Non-New York City
Oswego,Oswego County Sheriff,2017,12,350,51,0,21,3,27,299,67,214,18,Non-New York City
Oswego,Oswego County State Police,2017,12,691,109,1,68,2,38,582,165,380,37,Non-New York City
Oswego,Phoenix Vg PD,2017,12,26,3,0,0,2,1,23,5,17,1,Non-New York City
Oswego,Pulaski Vg PD,2017,12,19,0,0,0,0,0,19,5,14,0,Non-New York City
Oswego,SUNY Police - Oswego,2017,12,85,1,0,0,1,0,84,16,66,2,Non-New York City
Otsego,County Total,2017,,728,91,5,45,2,39,637,117,505,15,Non-New York City
Otsego,Oneonta City PD,2017,12,261,27,2,7,2,16,234,50,183,1,Non-New York City
Otsego,Otsego County Sheriff,2017,12,81,17,3,4,0,10,64,17,41,6,Non-New York City
Otsego,Otsego County State Police,2017,12,328,42,0,30,0,12,286,45,233,8,Non-New York City
Otsego,SUNY Police - Oneonta,2017,12,58,5,0,4,0,1,53,5,48,0,Non-New York City
Putnam,Brewster Vg PD,2017,12,17,1,0,0,1,0,16,1,14,1,Non-New York City
Putnam,Carmel Town PD,2017,12,134,9,1,0,3,5,125,23,99,3,Non-New York City
Putnam,County Total,2017,,628,54,1,15,9,29,574,94,462,18,Non-New York City
Putnam,Kent Town PD,2017,12,63,1,0,1,0,0,62,9,53,0,Non-New York City
Putnam,Putnam County MTA,2017,12,5,1,0,0,0,1,4,0,4,0,Non-New York City
Putnam,Putnam County Park PD,2017,12,5,2,0,0,0,2,3,0,2,1,Non-New York City
Putnam,Putnam County Sheriff,2017,12,283,19,0,4,3,12,264,51,211,2,Non-New York City
Putnam,Putnam County State Police,2017,12,121,21,0,10,2,9,100,10,79,11,Non-New York City
Queens,County Total,2017,12,32860,9184,50,495,2851,5788,23676,2721,19373,1582,New York City
Region Total,Region Total,2017,,171248,46433,292,2375,13995,29771,124815,11104,107976,5735,New York City
Rensselaer,County Total,2017,,3512,447,6,69,127,245,3065,556,2375,134,Non-New York City
Rensselaer,East Greenbush Town PD,2017,12,342,7,0,2,1,4,335,22,307,6,Non-New York City
Rensselaer,Hoosick Falls Vg PD,2017,12,41,2,0,0,0,2,39,4,31,4,Non-New York City
Rensselaer,Nassau Vg PD,2017,12,6,3,0,1,0,2,3,0,3,0,Non-New York City
Rensselaer,North Greenbush Town PD,2017,12,160,8,0,1,3,4,152,18,127,7,Non-New York City
Rensselaer,Rensselaer City PD,2017,12,130,13,0,0,4,9,117,35,77,5,Non-New York City
Rensselaer,Rensselaer County Park PD,2017,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Rensselaer,Rensselaer County Sheriff,2017,12,219,13,0,1,1,11,206,22,178,6,Non-New York City
Rensselaer,Rensselaer County State Police,2017,12,429,46,0,32,3,11,383,79,289,15,Non-New York City
Rensselaer,Rensselaer Poly Tech Police,2017,12,53,0,0,0,0,0,53,1,52,0,Non-New York City
